,value,geometry,latitude,longitude,region_id,impf_
0,7420591.942720058,POINT (12.854166666666648 35.85416666666658),35.85416666666658,12.854166666666648,380,1
1,129269290.54322733,POINT (11.937499999999991 36.812499999999915),36.812499999999915,11.937499999999991,380,1
2,35882234.0914551,POINT (11.979166666666657 36.812499999999915),36.812499999999915,11.979166666666657,380,1
3,9428292.242351755,POINT (12.020833333333323 36.812499999999915),36.812499999999915,12.020833333333323,380,1
4,16951161.15839577,POINT (11.979166666666657 36.77083333333325),36.77083333333325,11.979166666666657,380,1
5,5415461.925725755,POINT (12.020833333333323 36.77083333333325),36.77083333333325,12.020833333333323,380,1
6,59498667.66307307,POINT (12.3125 37.937499999999915),37.937499999999915,12.3125,380,1
7,84852115.39100398,POINT (8.354166666666648 39.10416666666658),39.10416666666658,8.354166666666648,380,1
8,21931726.200699806,POINT (8.395833333333314 39.10416666666658),39.10416666666658,8.395833333333314,380,1
9,582194.3963255236,POINT (8.354166666666648 39.062499999999915),39.062499999999915,8.354166666666648,380,1
10,946486.2781163616,POINT (8.395833333333314 39.062499999999915),39.062499999999915,8.395833333333314,380,1
11,314217140.26474994,POINT (8.43749999999998 39.062499999999915),39.062499999999915,8.43749999999998,380,1
12,91528.39992000432,POINT (8.395833333333314 39.02083333333325),39.02083333333325,8.395833333333314,380,1
13,1670630.0959701934,POINT (8.43749999999998 39.02083333333325),39.02083333333325,8.43749999999998,380,1
14,79167.88877167251,POINT (8.43749999999998 38.979166666666586),38.979166666666586,8.43749999999998,380,1
15,1207804.4431157333,POINT (8.270833333333314 39.14583333333325),39.14583333333325,8.270833333333314,380,1
16,410645.2941674124,POINT (8.270833333333314 39.104166666666586),39.104166666666586,8.270833333333314,380,1
17,186525547.64306477,POINT (9.187499999999986 41.22916666666658),41.22916666666658,9.187499999999986,380,1
18,13307883.297384204,POINT (9.229166666666652 41.22916666666658),41.22916666666658,9.229166666666652,380,1
19,3093792.757444576,POINT (9.187499999999986 41.187499999999915),41.187499999999915,9.187499999999986,380,1
20,1088345.3501318477,POINT (9.229166666666652 41.187499999999915),41.187499999999915,9.229166666666652,380,1
21,11898784.377093507,POINT (9.270833333333318 41.187499999999915),41.187499999999915,9.270833333333318,380,1
22,4860872.870319975,POINT (9.312499999999984 41.187499999999915),41.187499999999915,9.312499999999984,380,1
23,50195942.27908909,POINT (9.35416666666665 41.187499999999915),41.187499999999915,9.35416666666665,380,1
24,198594.5793109585,POINT (9.14583333333332 41.14583333333325),41.14583333333325,9.14583333333332,380,1
25,2134425.7347728363,POINT (9.187499999999986 41.14583333333325),41.14583333333325,9.187499999999986,380,1
26,241845.50197768328,POINT (9.229166666666652 41.14583333333325),41.14583333333325,9.229166666666652,380,1
27,2597695.0358736957,POINT (9.270833333333318 41.14583333333325),41.14583333333325,9.270833333333318,380,1
28,1572318.2675658665,POINT (9.312499999999984 41.14583333333325),41.14583333333325,9.312499999999984,380,1
29,7464791.77084776,POINT (9.35416666666665 41.14583333333325),41.14583333333325,9.35416666666665,380,1
30,16990968.10193697,POINT (9.395833333333316 41.14583333333325),41.14583333333325,9.395833333333316,380,1
31,14064004.423537584,POINT (9.520833333333314 41.14583333333325),41.14583333333325,9.520833333333314,380,1
32,205087.06507300906,POINT (9.020833333333321 41.104166666666586),41.104166666666586,9.020833333333321,380,1
33,1075433.6908266265,POINT (9.062499999999988 41.104166666666586),41.104166666666586,9.062499999999988,380,1
34,2094760.900446497,POINT (9.104166666666654 41.104166666666586),41.104166666666586,9.104166666666654,380,1
35,345265.8520397876,POINT (9.14583333333332 41.104166666666586),41.104166666666586,9.14583333333332,380,1
36,137056.5256102642,POINT (9.187499999999986 41.104166666666586),41.104166666666586,9.187499999999986,380,1
37,1312712.8723170615,POINT (9.229166666666652 41.104166666666586),41.104166666666586,9.229166666666652,380,1
38,5224414.233216958,POINT (9.270833333333318 41.104166666666586),41.104166666666586,9.270833333333318,380,1
39,72539.05942724142,POINT (9.312499999999984 41.104166666666586),41.104166666666586,9.312499999999984,380,1
40,7463752.841360088,POINT (9.35416666666665 41.104166666666586),41.104166666666586,9.35416666666665,380,1
41,91416805.21235579,POINT (9.395833333333316 41.104166666666586),41.104166666666586,9.395833333333316,380,1
42,37763515.62143701,POINT (9.437499999999982 41.104166666666586),41.104166666666586,9.437499999999982,380,1
43,26798808.542454023,POINT (9.479166666666648 41.104166666666586),41.104166666666586,9.479166666666648,380,1
44,36266487.18762625,POINT (9.520833333333314 41.104166666666586),41.104166666666586,9.520833333333314,380,1
45,2127313.6040852405,POINT (9.56249999999998 41.104166666666586),41.104166666666586,9.56249999999998,380,1
46,472389.26262066263,POINT (8.979166666666655 41.06249999999992),41.06249999999992,8.979166666666655,380,1
47,55143.842657390625,POINT (9.020833333333321 41.06249999999992),41.06249999999992,9.020833333333321,380,1
48,76602.9004601841,POINT (9.062499999999988 41.06249999999992),41.06249999999992,9.062499999999988,380,1
49,3365947.0413295,POINT (9.104166666666654 41.06249999999992),41.06249999999992,9.104166666666654,380,1
50,610816.938769612,POINT (9.14583333333332 41.06249999999992),41.06249999999992,9.14583333333332,380,1
51,8625880.34335321,POINT (9.187499999999986 41.06249999999992),41.06249999999992,9.187499999999986,380,1
52,6451937.136156104,POINT (9.229166666666652 41.06249999999992),41.06249999999992,9.229166666666652,380,1
53,353943.9209238488,POINT (9.270833333333318 41.06249999999992),41.06249999999992,9.270833333333318,380,1
54,160010.5412525176,POINT (9.312499999999984 41.06249999999992),41.06249999999992,9.312499999999984,380,1
